2026-07-16T13:34:39.034972|2753|178.5
2026-07-16T13:34:39.035088|1734|32.5
2026-07-16T13:34:39.035176|6509|50.3
2026-07-16T13:34:39.035247|2834|18.15
2026-07-16T13:34:39.035311|6412|83.5
2026-07-16T13:34:39.035374|2241|38.95
2026-07-16T13:34:39.035483|4977|144.0
2026-07-24T10:34:50.612717|2753|177.0
2026-07-24T10:35:58.018055|2753|177.0
2026-07-24T10:40:24.358987|6409|1025.0
2026-08-10T23:39:28.423175|2753|184.5
2026-08-10T23:39:28.425607|1734|31.9
2026-08-10T23:39:28.426037|6509|47.7
2026-08-10T23:39:28.426212|2834|16.5
2026-08-10T23:39:28.427264|3479|143.0
2026-08-10T23:39:28.427709|6412|79.4
2026-08-10T23:39:28.428241|4977|144.5
2026-08-10T23:39:28.428662|6472|431.0
2026-08-10T23:39:28.429073|6409|1040.0
2026-08-10T23:39:28.429479|6515|6830.0
2026-08-10T23:39:28.429884|2330|2380.0
2026-08-10T23:39:28.430287|5904|79.2
2026-08-11T09:00:43.840248|5904|86.3
2026-08-11T09:10:44.854787|4977|150.0
2026-08-11T09:20:44.676725|6412|78.8
2026-08-11T09:30:43.984507|6472|426.0
2026-08-11T10:00:46.986147|2834|16.5
2026-08-11T10:22:40.462193|2753|183.5
2026-08-11T10:22:40.464684|1734|31.65
2026-08-11T10:22:40.465111|6509|47.7
2026-08-11T10:22:40.465292|2834|16.45
2026-08-11T10:22:40.466033|3479|139.5
2026-08-11T10:22:40.466454|6412|78.2
2026-08-11T10:22:40.467011|4977|145.5
2026-08-11T10:22:40.467431|6472|419.0
2026-08-11T10:22:40.467849|6409|1010.0
2026-08-11T10:22:40.468254|6515|6795.0
2026-08-11T10:22:40.468656|2330|2380.0
2026-08-11T10:22:45.671183|2753|183.5
2026-08-11T10:22:45.673715|1734|31.65
2026-08-11T10:22:45.674175|6509|47.7
2026-08-11T10:22:45.674337|2834|16.45
2026-08-11T10:22:45.675148|3479|139.5
2026-08-11T10:22:45.675591|6412|78.2
2026-08-11T10:22:45.676125|4977|145.5
2026-08-11T10:22:45.676563|6472|419.0
2026-08-11T10:22:45.676997|6409|1010.0
2026-08-11T10:22:45.677465|6515|6795.0
2026-08-11T10:22:45.678123|2330|2385.0
2026-08-11T10:23:10.161451|2753|183.5
2026-08-11T10:23:10.164256|1734|31.65
2026-08-11T10:23:10.164772|6509|47.7
2026-08-11T10:23:10.164962|2834|16.45
2026-08-11T10:23:10.165822|3479|139.5
2026-08-11T10:23:10.166311|6412|78.2
2026-08-11T10:23:10.166923|4977|145.5
2026-08-11T10:23:10.167429|6472|419.0
2026-08-11T10:23:10.167913|6409|1010.0
2026-08-11T10:23:10.168391|6515|6795.0
2026-08-11T10:23:10.168864|2330|2385.0
2026-08-11T10:23:10.169335|5904|87.1
2026-08-11T10:30:48.236571|2753|183.0
2026-08-11T10:30:48.239015|1734|31.6
2026-08-11T10:30:48.239462|6509|47.7
2026-08-11T10:30:48.239632|2834|16.45
2026-08-11T10:30:48.240428|3479|140.0
2026-08-11T10:30:48.240879|6412|78.3
2026-08-11T10:30:48.241425|4977|146.0
2026-08-11T10:30:48.241904|6472|422.0
2026-08-11T10:30:48.242337|6409|1010.0
2026-08-11T10:30:48.242798|6515|6810.0
2026-08-11T10:30:48.243256|2330|2390.0
2026-08-11T10:30:48.243678|5904|87.1
2026-08-11T10:40:44.747556|2753|183.0
2026-08-11T10:40:44.750239|1734|31.6
2026-08-11T10:40:44.750792|6509|47.8
2026-08-11T10:40:44.750986|2834|16.45
2026-08-11T10:40:44.751860|3479|141.0
2026-08-11T10:40:44.752357|6412|78.4
2026-08-11T10:40:44.752960|4977|147.5
2026-08-11T10:40:44.753461|6472|424.0
2026-08-11T10:40:44.753980|6409|1015.0
2026-08-11T10:40:44.754488|6515|6915.0
2026-08-11T10:40:44.754993|2330|2390.0
2026-08-11T10:40:44.755474|5904|87.1
2026-08-11T10:50:47.578289|2753|183.0
2026-08-11T10:50:47.580883|1734|31.55
2026-08-11T10:50:47.581357|6509|47.8
2026-08-11T10:50:47.581530|2834|16.45
2026-08-11T10:50:47.582364|3479|141.0
2026-08-11T10:50:47.582852|6412|78.5
2026-08-11T10:50:47.583410|4977|147.5
2026-08-11T10:50:47.583885|6472|423.5
2026-08-11T10:50:47.584346|6409|1010.0
2026-08-11T10:50:47.584811|6515|6840.0
2026-08-11T10:50:47.585253|2330|2390.0
2026-08-11T10:50:47.585708|5904|87.1
2026-08-11T11:00:45.486595|2753|183.0
2026-08-11T11:00:45.489369|1734|31.55
2026-08-11T11:00:45.489834|6509|47.55
2026-08-11T11:00:45.490012|2834|16.45
2026-08-11T11:00:45.490835|3479|140.5
2026-08-11T11:00:45.491282|6412|78.4
2026-08-11T11:00:45.491873|4977|145.5
2026-08-11T11:00:45.492333|6472|422.5
2026-08-11T11:00:45.492769|6409|1010.0
2026-08-11T11:00:45.493199|6515|6825.0
2026-08-11T11:00:45.493638|2330|2385.0
2026-08-11T11:00:45.494090|5904|87.1
2026-08-11T11:10:53.471355|2753|183.0
2026-08-11T11:10:53.473765|1734|31.55
2026-08-11T11:10:53.474223|6509|47.75
2026-08-11T11:10:53.474402|2834|16.45
2026-08-11T11:10:53.475296|3479|140.5
2026-08-11T11:10:53.475772|6412|78.4
2026-08-11T11:10:53.476336|4977|146.0
2026-08-11T11:10:53.476781|6472|423.0
2026-08-11T11:10:53.477215|6409|1010.0
2026-08-11T11:10:53.477652|6515|6850.0
2026-08-11T11:10:53.478079|2330|2390.0
2026-08-11T11:10:53.478505|5904|87.1
2026-08-11T11:20:54.896240|2753|183.0
2026-08-11T11:20:54.898702|1734|31.55
2026-08-11T11:20:54.899164|6509|47.7
2026-08-11T11:20:54.899344|2834|16.45
2026-08-11T11:20:54.900142|3479|140.5
2026-08-11T11:20:54.900585|6412|78.3
2026-08-11T11:20:54.901119|4977|146.5
2026-08-11T11:20:54.901561|6472|422.5
2026-08-11T11:20:54.901993|6409|1010.0
2026-08-11T11:20:54.902418|6515|6865.0
2026-08-11T11:20:54.902867|2330|2385.0
2026-08-11T11:20:54.903301|5904|87.1
2026-08-11T11:31:01.991703|2753|183.0
2026-08-11T11:31:01.994601|1734|31.6
2026-08-11T11:31:01.995168|6509|47.7
2026-08-11T11:31:01.995423|2834|16.45
2026-08-11T11:31:01.996324|3479|141.5
2026-08-11T11:31:01.996835|6412|78.5
2026-08-11T11:31:01.997506|4977|147.5
2026-08-11T11:31:01.998023|6472|423.5
2026-08-11T11:31:01.998525|6409|1020.0
2026-08-11T11:31:01.999043|6515|6880.0
2026-08-11T11:31:01.999537|2330|2395.0
